Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
27381,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2025-2026/196721,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,30-Jan-26,Gram Panchayat Kathyaun,Payment Success,20000
27382,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2025-2026/196721,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,20-Sep-25,Gram Panchayat Kathyaun,Payment Success,80000
27383,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214183,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,14-Oct-25,GS Malik Enterprices Hasanpur,Payment Success,46200
27384,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214183,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,17-Sep-25,GS Malik Enterprices Hasanpur,Payment Success,46200
27385,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214183,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,17-Sep-25,Ms Luxmi Bricks Co Rakhi Khas,Payment Success,196056
27386,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214183,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,17-Sep-25,Ms Luxmi Bricks Co Rakhi Khas,Payment Success,147042
27387,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214183,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,17-Sep-25,Ms Luxmi Bricks Co Rakhi Khas,Payment Success,245070
27388,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214183,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,17-Sep-25,Ms Luxmi Bricks Co Rakhi Khas,Payment Success,196056
27389,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214183,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,17-Sep-25,Ms Luxmi Bricks Co Rakhi Khas,Payment Success,196056
27390,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214183,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,17-Sep-25,Ms Luxmi Bricks Co Rakhi Khas,Payment Success,196056
27391,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214183,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,17-Sep-25,Ms Luxmi Bricks Co Rakhi Khas,Payment Success,147042
27392,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214183,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,17-Sep-25,Ms Luxmi Bricks Co Rakhi Khas,Payment Success,98028
27393,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18067/2025-2026/214183,JIND(DEPUTY COMMISSIONER JIND),SATPAL BRAHAMCHARI,SONEPAT,17-Sep-25,Ms Luxmi Bricks Co Rakhi Khas,Payment Success,113165
27394,West Bengal,Provision of escalator and travellators for public use,WS/MP18245/2025-2026/153066,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),BAG MITALI,ARAMBAG(SC),22-Sep-25,P AND T CONSTRUCTION,Payment Success,2304468
27395,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2025-2026/196718,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,24-Oct-25,Gram Panchayat Khandla,Payment Success,150000
27396,Himachal Pradesh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18328/2025-2026/195261,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,24-Oct-25,Gram Panchayat Khandla,Payment Success,80000
27397,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2025-2026/195260,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,24-Oct-25,Gram Panchayat Khandla,Payment Success,80000
