"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"4819","Normal/Others","WS/MP012/2023-2024/2639-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Construction of C.C Road from Mukhiguda R.D Chowk to Kenal Road","Dr. Prashanta Nanda (2018-24) (NaN-NaN)","Elected MP","N/A","29-Oct-2025","950000"
"4820","Normal/Others","WS/MP012/2023-2024/26313-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","CONSTRUCTION OF GUARDWALL FROM GAMBHARIGUDA TO INDRABATI ROAD","Dr. Prashanta Nanda (2018-24) (NaN-NaN)","Elected MP","N/A","07-Nov-2025","800000"
"4821","Normal/Others","WS/MP136/2023-2024/103308-Construction of boundary walls of existing public and community buildings","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Const. of boundary wall Sarba Mangala +2 Higher Secondary School, Golamunda","Shri Sujeet Kumar (2020-24) (NaN-NaN)","Elected MP","Images","19-Nov-2025","400000"
"4822","Normal/Others","WS/MP022/2023-2024/85299-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Construction of CC Road at Harijanawada of Ananthapuram Village of Kaligiri Mandal","Shri Prabhakar Reddy Vemireddy (2018-24) (NaN-NaN)","Elected MP","Images","04-Jul-2024","245722"
"4823","Normal/Others","WS/MP160/2024-2025/132970-Construction of rooms and halls in school and colleges","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Thangachi madam - Saint Yaagapar Higher Sec School - Additional Class room.","Shri G.K. Vasan (2020-26) (NaN-NaN)","Elected MP","Images","04-Jul-2024","999139"
"4824","Normal/Others","WS/MP070/2023-2024/7220-Construction of boundary walls of existing public and community buildings","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","??????? ???? ?????? ???? ????? ??? ???","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","14-Aug-2025","400000"
"4825","Normal/Others","WS/MP157/2023-2024/56086-Street lights","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Installation of Highmast Lights (12 Mtr.150W.6 Light / Ladder Type) at Sowrastra Colony in Kathavanenthal Panchayat in Madurai East Block - 2023-24","Shri Anthiyur P. Selvarasu (2020-26) (NaN-NaN)","Elected MP","Images","04-Jul-2024","499966"
"4826","Normal/Others","WS/MP167/2024-2025/118218-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Construction of CC Road from ITI College to Krishna Veni School 6th Ward, Chityal Municipality, Nalgonda District","Dr. K. Keshava Rao (2020-24) (NaN-NaN)","Elected MP","Images","12-Jul-2024","497269"
"4827","Normal/Others","WS/MP070/2023-2024/7230-Construction of boundary walls of existing public and community buildings","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???????? ???? ?????? ???????? ???????? ?????? ????? ?????? ?????????? ???????? ???","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","01-Aug-2025","200000"
"4828","Normal/Others","WS/MP012/2023-2024/2533-Street lights","Odisha","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Installation of High Mast Light at Acharya Sahi Chaka (Sudarshan Sahoo House) at Banbarada","Dr. Prashanta Nanda (2018-24) (NaN-NaN)","Elected MP","Images","19-Feb-2026","200000"
"4829","Normal/Others","WS/MP832/2023-2024/16603-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD AND NALA IN WARD 13 RAJABAJAR SABJI MANDI FROM MD. HOONAR SHOP TO SITARAM SAH VIA ONE KAGLI","Shri Aneel Prasad Hegde (2022-24) (NaN-NaN)","Elected MP","Images","05-Jul-2024","445271"
"4830","Normal/Others","WS/MP042/2023-2024/44574-Installing tube-wells and borewells","Bihar","ROHTAS(District Planning Officer Rohtas_IDA)","Construction of 300 feet boring submersible pump (including tank) near Dr. Prem Singh's former utensils shop in Jani Bazaar Mohalla of Ward No. 31 of Sasaram","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","Images","27-Jun-2025","171207"
"4831","Normal/Others","WS/MP042/2023-2024/44575-Installing tube-wells and borewells","Bihar","ROHTAS(District Planning Officer Rohtas_IDA)","Construction of 300 feet boring submersible pump (including tank) in Shahjlal Peer Mohalla of Ward No. 33 of Sasaram","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","Images","27-Jun-2025","171207"
"4832","Normal/Others","WS/MP042/2023-2024/44576-Installing tube-wells and borewells","Bihar","ROHTAS(District Planning Officer Rohtas_IDA)","Construction of 300 feet boring submersible pump (including tank) in Dalit colony of Sappulah Ganj Mohalla of Ward No. 34 of Sasaram","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","Images","27-Jun-2025","171254"
"4833","Normal/Others","WS/MP042/2023-2024/44578-Installing tube-wells and borewells","Bihar","ROHTAS(District Planning Officer Rohtas_IDA)","Construction of 300 feet boring submersible pump (including tank) near the house of Hafiz Jalal in South Ashikpur of Bachpan School, Ward No. 38 of Sasaram","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","Images","27-Jun-2025","252132"
"4834","Normal/Others","WS/MP042/2023-2024/44577-Installing tube-wells and borewells","Bihar","ROHTAS(District Planning Officer Rohtas_IDA)","Construction of 300 feet boring submersible pump (including tank) near the house of Sardar Bablu Singh in Gurudwara Road, Jani Bazar, Ward No. 31 of Sasaram","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","Images","27-Jun-2025","251810"
"4835","Normal/Others","WS/MP090/2024-2025/52276-Construction of community centers and community halls","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Construction of Samuday Bhavan near Yallamma Devi Temple at Koujalagi Village","Shri Iranna Kadadi (2020-26) (NaN-NaN)","Elected MP","Images","19-Dec-2025","1000000"
"4836","Normal/Others","WS/MP090/2024-2025/52275-Construction of community centers and community halls","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Construction of Samuday Bhavan near Shri Mallikarjun Matha at Maradishivapur Village","Shri Iranna Kadadi (2020-26) (NaN-NaN)","Elected MP","N/A","12-Jan-2026","1000000"
"4837","Normal/Others","WS/MP090/2024-2025/52247-Construction of community centers and community halls","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Construction of Samuday Bhavan near Shri Ganapati Temple at Mutnal Village","Shri Iranna Kadadi (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2025","500000"
"4838","Normal/Others","WS/MP090/2024-2025/121083-Construction of community centers and community halls","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Construction of Compound wall near Shri Ganapateswar Patrivana Math, Radderatti","Shri Iranna Kadadi (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2025","500000"
"4839","Normal/Others","WS/MP090/2024-2025/121044-Construction of community centers and community halls","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Construction of Samudaya Bhavan near Shri Raghavendra Swami Math, Mallapur PG","Shri Iranna Kadadi (2020-26) (NaN-NaN)","Elected MP","N/A","12-Jan-2026","500000"
"4840","Normal/Others","WS/MP135/2023-2024/40930-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Construction of CC Road from Biju Biswal House to Santosh Nayak House","Shri Muzibulla Khan (2020-26) (NaN-NaN)","Elected MP","N/A","25-Jul-2024","500000"
"4841","Normal/Others","WS/MP090/2024-2025/121012-Construction of community centers and community halls","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Construction of Samudaya Bhavan property No 01 Near Hanuman Devastan, Hunshyal P Y ( Continued Work)","Shri Iranna Kadadi (2020-26) (NaN-NaN)","Elected MP","N/A","20-Dec-2025","500000"
"4842","Normal/Others","WS/MP090/2024-2025/121007-Construction of community centers and community halls","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Construction Samudaya Bhavana Property No 333 Near Shri Ayyappa Swami temple, Hunshyal P Y Village ( Continued Work)","Shri Iranna Kadadi (2020-26) (NaN-NaN)","Elected MP","N/A","20-Dec-2025","500000"
"4843","Normal/Others","WS/MP070/2023-2024/7229-Construction of boundary walls of existing public and community buildings","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","????? ???? ???? ???????? ???????? ????? ?????? ?????????? ???????? ???","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","10-Sep-2025","300000"
