"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"11626","Normal/Others","WS/MP177/2025-2026/189398-Installing community drinking water plants","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","RO Machine Installation Government Pre-High School","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","13-Jul-2026","380000"
"11627","Normal/Others","WS/MP177/2025-2026/189401-Installing community drinking water plants","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","RO Machine Installation Government Pre-High School","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","28-Oct-2025","380000"
"11628","Normal/Others","WS/MP177/2025-2026/189402-Installing community drinking water plants","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","RO Machine Installation Government Pre-High School","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","28-Oct-2025","380000"
"11629","Normal/Others","WS/MP177/2025-2026/189400-Installing community drinking water plants","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","RO Machine Installation Government Pre-High School","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","28-Oct-2025","380000"
"11630","Normal/Others","WS/MP177/2025-2026/189403-Installing community drinking water plants","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","RO Machine Installation Government Pre-High School","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","28-Oct-2025","380000"
"11631","Normal/Others","WS/MP177/2025-2026/189405-Installing community drinking water plants","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","RO Machine Installation Government Pre-High School","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","28-Oct-2025","380000"
"11632","Normal/Others","WS/MP135/2024-2025/165699-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Construction of CC road from Fakir Mallick house to Bina Mallick house of village. GP-Sasan, Block- Pattamundai, District - Kendrapara","Shri Muzibulla Khan (2020-26) (NaN-NaN)","Elected MP","Images","30-May-2025","500000"
"11633","Normal/Others","WS/MP135/2024-2025/156430-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Construction of CC Road from Panchanan Dhal house to Medical Tank of village/GP-Sasan under Pattamundai","Shri Muzibulla Khan (2020-26) (NaN-NaN)","Elected MP","Images","30-May-2025","500000"
"11634","Normal/Others","WS/MP100/2024-2025/82992-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Construction of Vaikkolpadam - Theertham road","Shri Jose K. Mani (2021-24) (NaN-NaN)","Elected MP","Images","31-May-2025","227025"
"11635","Normal/Others","WS/MP172/2023-2024/123883-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Construction of Compound wall to Graveyard at Thurkadayara of Keesara Village & Mandal.","Shri Joginipally Santosh Kumar (2018-24) (NaN-NaN)","Elected MP","Images","16-Jun-2025","298498"
"11636","Normal/Others","WS/MP172/2023-2024/123887-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Construction of shed in Keesara Dayara  Crematorium, Keesara Village & Mandal.","Shri Joginipally Santosh Kumar (2018-24) (NaN-NaN)","Elected MP","Images","16-Jun-2025","198686"
"11637","Normal/Others","WS/MP172/2023-2024/123886-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Construction of one burning platform and wash rooms in Keesara Dayara Crematorium, Keesara Village & Mandal.","Shri Joginipally Santosh Kumar (2018-24) (NaN-NaN)","Elected MP","Images","06-Aug-2025","494826"
"11638","Normal/Others","WS/EXRS016/2024-2025/148401-Purchase of IT systems, including hardware and software for educational purposes","Kerala","PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA)","Construction of Building for Smart Classroom in Elamannor KPPM UP School Enadimanagalam Gramapanchayat","Shri K. Somaprasad (2016-22) (NaN-NaN)","Elected MP","Images","04-Aug-2025","303708"
"11639","Normal/Others","WS/MP172/2024-2025/125194-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","C/o CC road at Mulanguru Swami (H) to Golla Papesh (H) at Muthyampet Village of Mallapur Mandal.","Shri Joginipally Santosh Kumar (2018-24) (NaN-NaN)","Elected MP","N/A","19-Aug-2025","300000"
"11640","Normal/Others","WS/MP082/2025-2026/141337-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Amar Shaheed Thakur Vishwanath Shahdev District School Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11641","Normal/Others","WS/MP082/2025-2026/141338-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Government Girls High School, Bariatu, Ranchi","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11642","Normal/Others","WS/MP082/2025-2026/141340-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Book Supply in Balkrishna +2 High School,Upper Bazar, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11643","Normal/Others","WS/MP082/2025-2026/141339-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Government High School, Bariatu, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11644","Normal/Others","WS/MP082/2025-2026/141344-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Azad High School Karbala Chowk, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11645","Normal/Others","WS/MP082/2025-2026/141345-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Ram Lakhan Singh Yadav High School, Kokar, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11646","Normal/Others","WS/MP082/2025-2026/141336-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Government Sanskrit High School Kishoreganj, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11647","Normal/Others","WS/MP082/2025-2026/141341-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Book Supply in Marwari +2 High School, Upper Bazar, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11648","Normal/Others","WS/MP082/2025-2026/141342-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Chhotanagpur Girls High School Thadpakhana, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11649","Normal/Others","WS/MP082/2025-2026/141347-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Model High School Doranda, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11650","Normal/Others","WS/MP082/2025-2026/141346-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in B.S.V High School, Nivaranpur, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11651","Normal/Others","WS/MP082/2025-2026/141343-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Book Supply in Shri Shiv Narayan Marwari balika +2 High School, Upper Bazar, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11652","Normal/Others","WS/MP082/2025-2026/141350-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Hinoo United High School Hinoo, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11653","Normal/Others","WS/MP082/2025-2026/141348-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Seth Sitaram Vijayvargiya High School, Doranda Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11654","Normal/Others","WS/MP082/2025-2026/141349-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in S.S. Doranda Girls +2 High School Doranda, Ranchi","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11655","Normal/Others","WS/MP082/2025-2026/141351-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in  K.V. Girls High School Ratu Road, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11656","Normal/Others","WS/MP082/2025-2026/141360-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in BIT+2 High School Mesra, Kanke, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11657","Normal/Others","WS/MP082/2025-2026/141357-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Government +2 High School, Kanke, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11658","Normal/Others","WS/MP082/2025-2026/141359-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in High School Boreya, Kanke, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11659","Normal/Others","WS/MP082/2025-2026/141361-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Chhotanagpur Government High School Ratu, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11660","Normal/Others","WS/MP082/2025-2026/141358-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Government High School, Bajra, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11661","Normal/Others","WS/MP082/2025-2026/141363-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Hansraj Badhwa High School Namkum, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11662","Normal/Others","WS/MP082/2025-2026/141362-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Government High School Piska Nagari, Ratu, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11663","Normal/Others","WS/MP082/2025-2026/141365-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Government High School Tatisilwai, Namkum, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11664","Normal/Others","WS/MP082/2025-2026/141364-Purchase Books for Library","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Supply of books in Kasturba High School Kharsidag, Namkum, Ranchi.","Shri Deepak Prakash (2020-26) (NaN-NaN)","Elected MP","N/A","24-Jul-2025","200000"
"11665","Normal/Others","WS/EXRS021/2024-2025/170341-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Maner vidhan sabha antragat maner prakhand ke gram haathitola mein vishavkarma ke ghar se shishupal rai ke ghar hote hue gadha tak pcc sadak nirman ka shesh kary","Smt. Misha Bharti (2016-22) (NaN-NaN)","Elected MP","N/A","29-Jun-2025","124900"
"11666","Normal/Others","WS/EXRS021/2024-2025/170315-Installing hand pumps","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Maner vidhan sabha ke gram suarmarwa purvi mein Pro Bhagwaan Singh ke ghar ke pass chapakal ka nirman ka shesh kary","Smt. Misha Bharti (2016-22) (NaN-NaN)","Elected MP","N/A","29-Jun-2025","18750"
"11667","Normal/Others","WS/EXRS021/2024-2025/169894-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","maner prakhan ke gram panchayat kitta chouhtar purvi panchayat ke gram dudholaa mein baikunth babu ke kon se nawal rai ke ghar hote hue Aanand Singh ke ghar tak pcc sadak nirman karya ka shesh kary.","Smt. Misha Bharti (2016-22) (NaN-NaN)","Elected MP","N/A","29-Jun-2025","52287"
"11668","Normal/Others","WS/EXRS021/2024-2025/169938-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Nagar Panchayat Maner antragat ward no 15 mein Sudarshan Rai ke ghar se Shivbalak singh ke ghar hote hue dakshin ki ore bharat singh ke makaan tak pcc nirman ka shesh kary.","Smt. Misha Bharti (2016-22) (NaN-NaN)","Elected MP","N/A","29-Jun-2025","174950"
"11669","Normal/Others","WS/MP060/2024-2025/55285-Construction of public libraries and reading rooms","Gujarat","CHHOTAUDEPUR(DISTRICT COLLECTOR CHHOTA UDEPUR_IDA)","Construction of Public Library at Parbat Faliya Navi Vasahat","Dr. Amee Yajnik (2018-24) (NaN-NaN)","Elected MP","Images","02-Jun-2025","448705"
"11670","Normal/Others","WS/MP136/2023-2024/37634-Construction of community centers and community halls","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Const. of Ambedkar Bhawan at Biswanathpur","Shri Sujeet Kumar (2020-24) (NaN-NaN)","Elected MP","N/A","12-Dec-2025","1000000"
"11671","Normal/Others","WS/MP133/2023-2024/21837-Construction of community centers and community halls","Odisha","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Const. of Adivsi Community Centre at Bender","Shri Niranjan Bishi (2022-26) (NaN-NaN)","Elected MP","Images","02-Jun-2025","200000"
"11672","Normal/Others","WS/MP232/2025-2026/199973-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","Construction of CC Road in village Achharohi from Hanuman Mandir to the House of Tulsiram, Tehasil Shyampur, dist. Sehore","Shri Digvijaya Singh (2020-26) (NaN-NaN)","Elected MP","Images","22-Dec-2025","500000"
"11673","Normal/Others","WS/MP076/2023-2024/2264-Purchase of mobile water tankers","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","one water tanker for gram Panchayat Dubaldhan Ghikan Distt Jhajjar ( Capacity 5000 Litrs with Motor fitted and new tyers.","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (NaN-NaN)","Elected MP","Images","13-Jun-2025","154427"
"11674","Normal/Others","WS/MP076/2023-2024/2263-Purchase of mobile water tankers","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","one water tanker for gram Panchayat  Dhubaldhan Bihan Distt Jhajjar ( Capacity 5000 Litrs with Motor fitted and new tyers.","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (NaN-NaN)","Elected MP","Images","13-Jun-2025","154427"
"11675","Normal/Others","WS/MP076/2023-2024/2265-Purchase of mobile water tankers","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","one water tanker for gram Panchayat Dubaldhan Kirmian Distt Jhajjar ( Capacity 5000 Litrs with Motor fitted and new tyers.","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (NaN-NaN)","Elected MP","Images","13-Jun-2025","154427"
"11676","Normal/Others","WS/MP076/2023-2024/2176-Purchase of mobile water tankers","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","One water tanker for Gram Panchayat Majra -B Distt. Jhajjar ( Capacity (5000 Liters with motor fitted with new tyers )","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (NaN-NaN)","Elected MP","Images","13-Jun-2025","154427"
"11677","Normal/Others","WS/MP069/2024-2025/65587-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Gujarat","CHHOTAUDEPUR(DISTRICT COLLECTOR CHHOTA UDEPUR_IDA)","For construction of Protection wall at Parbat Paliya at Moti Amrol village of Jetpur pavi taluka","Shri Shaktisinh Gohil (2020-26) (NaN-NaN)","Elected MP","Images","02-Jun-2025","297077"
"11678","Normal/Others","WS/EXRS005/2025-2026/202047-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA)","Paving of road at Mauja BhojapurTah-Dist-Bhandara","Shri Praful Patel (2016-22) (NaN-NaN)","Elected MP","Images","05-Jun-2025","599850"
"11679","Normal/Others","WS/EXRS005/2025-2026/202046-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA)","Construction of cement road and drain at Mauja Dabha Tah-Dist-Bhandara","Shri Praful Patel (2016-22) (NaN-NaN)","Elected MP","Images","05-Jun-2025","799902"
"11680","Normal/Others","WS/MP122/2025-2026/186412-Providing drains and gutters for public drainage","Maharashtra","Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA)","Construction of underground concrete gutters at Shirin Colony Dharashiv, from Mulani Sir House to Fakir Shaikh House","Shri Sharad Pawar (2020-26) (NaN-NaN)","Elected MP","N/A","02-Jun-2025","999805"
"11681","Normal/Others","WS/MP122/2025-2026/186416-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA)","Construction of internal road at Dharashiv City, from Subhedar Ramaji Ambedkar Nagar, infront of Kamlakar Bansode House","Shri Sharad Pawar (2020-26) (NaN-NaN)","Elected MP","N/A","02-Jun-2025","999929"
"11682","Normal/Others","WS/MP122/2025-2026/186420-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA)","Construction of internal road at Dharashiv City, from Shinde House to Rahul Sonawane House","Shri Sharad Pawar (2020-26) (NaN-NaN)","Elected MP","N/A","02-Jun-2025","998356"
"11683","Normal/Others","WS/MP079/2025-2026/188048-Construction of buildings for community cultural activities","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Upgradation Completion of remaining work of Mahila Mandal  Bhawan at Kutehda GP Lahla Devp Block and Tehsil Palampur Distt. Kangra HP","Ms. Indu Bala Goswami (2020-26) (NaN-NaN)","Elected MP","N/A","06-Aug-2025","200000"
"11684","Normal/Others","WS/MP079/2025-2026/188045-Construction of community centers and community halls","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Construction of Community Hall at Rajput Kalyan Sabha Maharana Pratap Bhawan Palampur Lohna Near Hotel Tea Bud Ward No 3 MC  Tehsil Palampur Distt Kangra HP","Ms. Indu Bala Goswami (2020-26) (NaN-NaN)","Elected MP","N/A","31-Oct-2025","500000"
"11685","Normal/Others","WS/MP115/2025-2026/193734-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Construction of Sabha Mandap at Mata Mai Chowk in Th. Gondia Village Shivatola (Tanda).","Shri Praful Patel (2022-24) (NaN-NaN)","Elected MP","Images","03-Jun-2025","297280"
"11686","Normal/Others","WS/MP049/2024-2025/148706-Construction of rooms and halls in school and colleges","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Construction of a room and toilet in Panchayat Bherkhiya newly created primary school, Chakania Ward No.-09","Shri Ram Nath Thakur (2020-26) (NaN-NaN)","Elected MP","N/A","03-Jun-2025","966677"
"11687","Normal/Others","WS/MP128/2024-2025/135379-Construction of rooms and halls in school and colleges","Meghalaya","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","Construction of New School Building at Umpohliew Jingtip HS School, Nongbsap.","Dr. Wanweiroy Kharlukhi (2020-26) (NaN-NaN)","Elected MP","N/A","10-Sep-2025","1000000"
"11688","Normal/Others","WS/MP079/2025-2026/188140-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Construction of Ambulance Road including drainage near house of Late Sh Goverdhan Singh towards the land of Desh raj at ward No 4","Ms. Indu Bala Goswami (2020-26) (NaN-NaN)","Elected MP","N/A","17-Apr-2026","299929"
"11689","Normal/Others","WS/MP169/2024-2025/23059-Providing supply pipelines for drinking water","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Laying of PVC Pipeline from Mission Bhagiratha Tank to Thallapalli Swathi (H) at Padmanagar colony in Ward No.7, Nakrekal Municipality","Shri B. Lingaiah Yadav (2018-24) (NaN-NaN)","Elected MP","Images","03-Jun-2025","282633"
"11690","Normal/Others","WS/MP079/2025-2026/150255-Construction of additional rooms and halls in the existing public and community building","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","C/o Completion of  Lok mitar Kendra CSC Building at Ward No. 2 Langhu GP Gadiyara Tehsil Baijnath Distt. Kangra HP","Ms. Indu Bala Goswami (2020-26) (NaN-NaN)","Elected MP","N/A","24-Mar-2026","50000"
"11691","Normal/Others","WS/MP079/2025-2026/191515-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Jeepable road along with interlocking tiles from Ashwini Sharma, Rakesh and Subhashna Sharma house towards Jamrela road","Ms. Indu Bala Goswami (2020-26) (NaN-NaN)","Elected MP","Images","02-Dec-2025","199655"
"11692","Normal/Others","WS/MP172/2023-2024/122322-Lighting of public spaces","Telangana","MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA)","Providing of High Mast light at SC locality in Anthaipally village of Shamirpet Mandal.","Shri Joginipally Santosh Kumar (2018-24) (NaN-NaN)","Elected MP","Images","03-Jun-2025","147423"
"11693","Normal/Others","WS/MP18409/2025-2026/158742-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","improvement of road from Diniary village to singiri ghat of vill- diniaryG.P-  kolidiha","Shri Debashish Samantaray (2024-30) (NaN-NaN)","Elected MP","Images","10-Jun-2025","500000"
"11694","Normal/Others","WS/MP122/2025-2026/146478-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Construction of raod from Laxmimata Mandir to Pirsaheb Darga in Dalit Vasti at Jalgaon Supe (SC)","Shri Sharad Pawar (2020-26) (NaN-NaN)","Elected MP","Images","04-Jun-2025","1413985"
"11695","Normal/Others","WS/MP049/2024-2025/148703-Construction of public staircase/ stair ghat for public convenience","Bihar","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Construction of ladder ghat in Budhi Gadak river under Samastipur Municipal Corporation Ward No.-21","Shri Ram Nath Thakur (2020-26) (NaN-NaN)","Elected MP","Images","04-Jun-2025","994134"
"11696","Normal/Others","WS/MP224/2025-2026/192527-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","Gram Badagaon me dwitiya shreni sadak Nirman (Manikpur se bastar budra sarhad tak 1000 Mitre)","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","07-Aug-2025","1991319"
"11697","Normal/Others","WS/MP224/2025-2026/192529-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","Gram Mandokikhargaon me dwitiya shreni sadak Niran (Mukhya marg se choterajpur sarhad tak 1000 mitre)","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","07-Aug-2025","1998948"
"11698","Normal/Others","WS/MP224/2025-2026/192531-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","Gram Mondokikhargaon me dwitiya shreni sadak Nirman (Mukhya marg se jabardihi tak 1000 mitre)","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","07-Aug-2025","1999439"
"11699","Normal/Others","WS/MP224/2025-2026/192530-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","Gram Mandokikhargaon me dwitiya shreni sadak Nirman (Choterajpur sarhad se Mangal ghar tak 1000 mitre)","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","07-Aug-2025","1999836"
"11700","Normal/Others","WS/MP224/2025-2026/192528-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","Gram Badagaon me dwitiya shreni sadak Nirman (Chatan para se Khalsa budra sarhad tak 1000 mitre)","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","07-Aug-2025","1996272"
"11701","Normal/Others","WS/MP224/2025-2026/192532-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","Gram Mandokikhargaon me dwitiya shreni sadak Nirman (Talab se Mela sthal tak 400 mitre)","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","07-Aug-2025","499835"
"11702","Normal/Others","WS/MP224/2025-2026/192533-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","Gram Chhindli me dwitiya shreni sadak Nirman (Jaisingh ghar se pidhapal sarhad tak 1000 Miter)","Smt. Phulo Devi Netam (2020-26) (NaN-NaN)","Elected MP","Images","07-Aug-2025","1999439"
