"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"19983","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP185/2023-2024/25490","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Shri Vijay Pal Singh Tomar (2018-24) (2018-2024)","Elected MP","24-Jun-2024","RAJEEV GUPTA","Payment Success","735440"
"19984","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP185/2023-2024/25489","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","Shri Vijay Pal Singh Tomar (2018-24) (2018-2024)","Elected MP","27-Jun-2024","RAJEEV GUPTA","Payment Success","267186"
"19985","Rajasthan","Construction of public libraries and reading rooms","WS/MP143/2023-2024/21488","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Dr. Manmohan Singh (2019-24) (2019-2024)","Elected MP","05-Jul-2024","GRAM PANCHAYAT SANAU","Payment Success","600000"
"19986","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP025/2023-2024/93924","Bapatla(DISTRICT COLLECTOR BAPATLA_IDA)","Shri Venkataramana Rao Mopidevi (2020-24) (2020-2024)","Elected MP","18-Mar-2024","member works committee GP Chinamatlapaudi","Payment Success","499827"
"19987","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP135/2024-2025/48588","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Muzibulla Khan (2020-26) (2020-2026)","Elected MP","18-Jul-2024","Anita Senapati JE","Payment Success","1000000"
"19988","Gujarat","Construction of additional rooms and halls in the existing public and community building","WS/MP070/2024-2025/97890","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","17-Sep-2024","KALOL GRAM PANCHAYAT","Payment Success","500000"
"19989","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP060/2023-2024/38889","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Dr. Amee Yajnik (2018-24) (2018-2024)","Elected MP","18-Mar-2024","KALOL GRAM PANCHAYAT","Payment Success","250000"
"19990","Gujarat","Lighting of public spaces","WS/MP070/2024-2025/97940","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","Smt. Ramilaben Becharbhai Bara (2020-26) (2020-2026)","Elected MP","28-Jun-2024","KALOL GRAM PANCHAYAT","Payment Success","500000"
"19991","Gujarat","Construction of rooms and halls in school and colleges","WS/MP837/2023-2024/54897","MAU(DISTRICT MAGISTRATE MAU_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","29-Nov-2024","SAMRATH ENTERPRISES","Payment Success","593713"
"19992","Gujarat","Construction of rooms and halls in school and colleges","WS/MP837/2023-2024/54909","MAU(DISTRICT MAGISTRATE MAU_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","29-Nov-2024","SAMRATH ENTERPRISES","Payment Success","592955"
"19993","Gujarat","Construction of rooms and halls in school and colleges","WS/MP837/2023-2024/54913","MAU(DISTRICT MAGISTRATE MAU_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","29-Nov-2024","SAMRATH ENTERPRISES","Payment Success","593793"
"19994","Gujarat","Construction of rooms and halls in school and colleges","WS/MP837/2023-2024/54897","MAU(DISTRICT MAGISTRATE MAU_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","09-Feb-2026","SAMRATH ENTERPRISES","Payment Success","396287"
"19995","Gujarat","Construction of rooms and halls in school and colleges","WS/MP837/2023-2024/54909","MAU(DISTRICT MAGISTRATE MAU_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","09-Feb-2026","SAMRATH ENTERPRISES","Payment Success","397045"
"19996","Gujarat","Construction of rooms and halls in school and colleges","WS/MP837/2023-2024/54913","MAU(DISTRICT MAGISTRATE MAU_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","09-Feb-2026","SAMRATH ENTERPRISES","Payment Success","396207"
"19997","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4377","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","18-Jun-2024","COSMIC CONSTRUCTION","Payment Success","131835"
"19998","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4227","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","18-Jun-2024","COSMIC CONSTRUCTION","Payment Success","133803"
"19999","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4399","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","22-Nov-2024","Ganesh Ray","Payment Success","130724"
"20000","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4400","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","22-Nov-2024","Ganesh Ray","Payment Success","131907"
"20001","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4398","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","22-Nov-2024","Ganesh Ray","Payment Success","131907"
"20002","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4397","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","22-Nov-2024","Ganesh Ray","Payment Success","133089"
"20003","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4405","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","03-Jul-2024","MANAS DEY","Payment Success","137168"
"20004","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4403","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","03-Jul-2024","MANAS DEY","Payment Success","135732"
"20005","Andhra Pradesh","Installing tube-wells and borewells","WS/MP023/2024-2025/126690","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","07-Jan-2025","K Sreenivasa reddy and co","Payment Success","1498359"
"20006","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP023/2023-2024/122081","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","27-Mar-2025","K Sreenivasa reddy and co","Payment Success","3997332"
"20007","Andhra Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/EXRS015/2024-2025/142699","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24)EX (2018-2024)","Elected MP","27-Mar-2025","K Sreenivasa reddy and co","Payment Success","2998047"
"20008","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP023/2023-2024/122079","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","27-Mar-2025","K Sreenivasa reddy and co","Payment Success","3998479"
"20009","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP023/2023-2024/122080","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","27-Mar-2025","K Sreenivasa reddy and co","Payment Success","3996764"
"20010","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP023/2023-2024/122082","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","27-Mar-2025","K Sreenivasa reddy and co","Payment Success","2999994"
"20011","Andhra Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/EXRS015/2024-2025/142695","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24)EX (2018-2024)","Elected MP","27-Mar-2025","K Sreenivasa reddy and co","Payment Success","2999140"
"20012","Andhra Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/EXRS015/2024-2025/142698","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24)EX (2018-2024)","Elected MP","27-Mar-2025","K Sreenivasa reddy and co","Payment Success","2998622"
"20013","Andhra Pradesh","Setting up of kitchen and pantries","WS/MP023/2023-2024/95331","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","02-Jul-2024","K Sreenivasa reddy and co","Payment Success","1250000"
"20014","Andhra Pradesh","Setting up of kitchen and pantries","WS/MP023/2023-2024/95331","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","02-Apr-2025","K Sreenivasa reddy and co","Payment Success","1249608"
"20015","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP023/2023-2024/122083","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","06-Sep-2024","K Sreenivasa reddy and co","Payment Success","899993"
"20016","Andhra Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP023/2023-2024/122077","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","11-May-2026","K Sreenivasa reddy and co","Payment Success","1799546"
"20017","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP023/2023-2024/122078","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","03-Jul-2025","K Sreenivasa reddy and co","Payment Success","1705447"
"20018","Andhra Pradesh","Installing community drinking water plants","WS/MP023/2023-2024/7356","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Dr. C.M. Ramesh (2018-24) (2018-2024)","Elected MP","31-Aug-2024","K Sreenivasa reddy and co","Payment Success","499907"
"20019","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4382","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","24-Jul-2024","TAPAS PAL","Payment Success","125365"
"20020","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4381","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","24-Jul-2024","TAPAS PAL","Payment Success","125672"
"20021","Mizoram","Construction of community centers and community halls","WS/MP129/2023-2024/59916","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","24-Jun-2024","CHANMARI WEST YMA","Payment Success","400000"
"20022","Mizoram","Construction of community centers and community halls","WS/MP129/2023-2024/59916","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","21-Dec-2024","CHANMARI WEST YMA","Payment Success","400000"
"20023","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4402","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","18-Jul-2024","SANDHYA DEY","Payment Success","126720"
"20024","Karnataka","Construction of community centers and community halls","WS/MP093/2023-2024/41246","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","01-Jul-2024","MANOJ A N","Payment Success","2500000"
"20025","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP060/2024-2025/87213","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Dr. Amee Yajnik (2018-24) (2018-2024)","Elected MP","18-Dec-2024","SARPANCH SHREE GRAMPANCHAYAT LIMBDIYA KARAI","Payment Success","500000"
"20026","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP060/2024-2025/87216","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Dr. Amee Yajnik (2018-24) (2018-2024)","Elected MP","16-Dec-2024","SARPANCH SHREE GRAMPANCHAYAT LIMBDIYA KARAI","Payment Success","495000"
"20027","West Bengal","Construction of community centers and community halls","WS/MP215/2023-2024/7494","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Smt. Mausam B Noor (2020-26) (2020-2026)","Elected MP","19-Dec-2025","JAHARLAL DUTTA","Payment Success","6518271"
"20028","Andhra Pradesh","Establishing public lift irrigation projects","WS/MP027/2023-2024/100042","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Parimal Nathwani (2020-26) (2020-2026)","Elected MP","16-Mar-2024","SLR INFRASTRUCTURE PRIVATE LIMITED","Payment Success","32783936"
"20029","Andhra Pradesh","Establishing public lift irrigation projects","WS/MP027/2023-2024/100042","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Parimal Nathwani (2020-26) (2020-2026)","Elected MP","03-Aug-2024","SLR INFRASTRUCTURE PRIVATE LIMITED","Payment Success","4045825"
"20030","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP079/2024-2025/140849","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","12-Dec-2024","BDO TISSA","Payment Success","200000"
"20031","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP061/2025-2026/248289","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","26-Feb-2026","SARPACNH SHREE GRAMPANCHAYAT ADALAJ","Payment Success","490050"
"20032","Gujarat","Construction of footpaths and pedestrian ways","WS/MP061/2025-2026/248290","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","26-Feb-2026","SARPACNH SHREE GRAMPANCHAYAT ADALAJ","Payment Success","493020"
"20033","Gujarat","Construction of rooms and halls in school and colleges","WS/MP061/2024-2025/127345","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","21-Sep-2024","SARPACNH SHREE GRAMPANCHAYAT ADALAJ","Payment Success","399925"
"20034","Gujarat","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP061/2024-2025/127333","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","21-Sep-2024","SARPACNH SHREE GRAMPANCHAYAT ADALAJ","Payment Success","299899"
"20035","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP061/2024-2025/127356","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","21-Sep-2024","SARPACNH SHREE GRAMPANCHAYAT ADALAJ","Payment Success","199996"
"20036","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP061/2025-2026/248287","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","12-May-2026","SARPACNH SHREE GRAMPANCHAYAT ADALAJ","Payment Success","450000"
"20037","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP061/2025-2026/248288","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","12-May-2026","SARPACNH SHREE GRAMPANCHAYAT ADALAJ","Payment Success","450000"
"20038","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP151/2023-2024/29999","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Rajendra Gehlot (2020-26) (2020-2026)","Elected MP","21-Mar-2024","Grampanchayat Jaisala","Payment Success","525000"
"20039","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP151/2023-2024/30000","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Rajendra Gehlot (2020-26) (2020-2026)","Elected MP","21-Mar-2024","Grampanchayat Jaisala","Payment Success","600000"
"20040","Mizoram","Construction of footpaths and pedestrian ways","WS/MP129/2023-2024/59529","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","24-Jun-2024","REPUBLIC VENGTHLANG LOCAL COUNCIL","Payment Success","200000"
"20041","Mizoram","Construction of footpaths and pedestrian ways","WS/MP129/2023-2024/59551","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","24-Jun-2024","REPUBLIC VENGTHLANG LOCAL COUNCIL","Payment Success","200000"
"20042","Mizoram","Construction of footpaths and pedestrian ways","WS/MP129/2023-2024/59551","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","18-Sep-2024","REPUBLIC VENGTHLANG LOCAL COUNCIL","Payment Success","200000"
"20043","Mizoram","Construction of footpaths and pedestrian ways","WS/MP129/2023-2024/59529","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","18-Sep-2024","REPUBLIC VENGTHLANG LOCAL COUNCIL","Payment Success","200000"
"20044","Chhattisgarh","Construction of community centers and community halls","WS/MP175/2023-2024/125508","KORBA(Collector-Korba)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","02-Jul-2024","SARPANCH SACHIV GP RATIJA","Payment Success","250000"
"20045","Rajasthan","Construction of public libraries and reading rooms","WS/MP151/2024-2025/29338","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Rajendra Gehlot (2020-26) (2020-2026)","Elected MP","22-Dec-2025","INATH BUILDERS","Payment Success","250011"
"20046","Rajasthan","Construction of public libraries and reading rooms","WS/MP151/2024-2025/146720","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Rajendra Gehlot (2020-26) (2020-2026)","Elected MP","14-May-2026","INATH BUILDERS","Payment Success","799364"
"20047","Mizoram","Construction of footpaths and pedestrian ways","WS/MP129/2023-2024/59989","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","24-Jun-2024","CHAWLHMUN YMA","Payment Success","250000"
"20048","Mizoram","Construction of footpaths and pedestrian ways","WS/MP129/2023-2024/59989","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","21-Dec-2024","CHAWLHMUN YMA","Payment Success","250000"
"20049","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP069/2024-2025/73406","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","20-Feb-2025","SHIRVADA GRAM PANCHAYAT","Payment Success","500000"
"20050","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4211","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","06-Nov-2024","SUBHADIP KOLE","Payment Success","133382.5"
"20051","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4212","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","06-Nov-2024","SUBHADIP KOLE","Payment Success","133382.5"
"20052","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4148","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","22-Aug-2024","SUBHADIP KOLE","Payment Success","124870"
"20053","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4149","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","22-Aug-2024","SUBHADIP KOLE","Payment Success","124870"
"20054","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4150","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","22-Aug-2024","SUBHADIP KOLE","Payment Success","124869"
"20055","Mizoram","Providing drains and gutters for public drainage","WS/MP129/2023-2024/59913","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","21-Dec-2024","ARMED VENG YMA","Payment Success","250000"
"20056","Mizoram","Providing drains and gutters for public drainage","WS/MP129/2023-2024/59913","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","24-Jun-2024","ARMED VENG YMA","Payment Success","250000"
"20057","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4199","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","01-Jul-2024","TAPAN KUMAR MANDAL","Payment Success","130775"
"20058","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4200","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","01-Jul-2024","TAPAN KUMAR MANDAL","Payment Success","143304.5"
"20059","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4201","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","01-Jul-2024","TAPAN KUMAR MANDAL","Payment Success","143304.5"
"20060","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4202","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","01-Jul-2024","TAPAN KUMAR MANDAL","Payment Success","143532.5"
"20061","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4203","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","01-Jul-2024","TAPAN KUMAR MANDAL","Payment Success","143532.5"
"20062","Gujarat","Construction of rooms and halls in school and colleges","WS/MP060/2023-2024/80429","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Dr. Amee Yajnik (2018-24) (2018-2024)","Elected MP","20-Jun-2024","TERWADA GROUP GRAM PANCHAYAT","Payment Success","500000"
"20063","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4151","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","02-Sep-2024","United Traders","Payment Success","109345"
"20064","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4153","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","02-Sep-2024","United Traders","Payment Success","109345"
"20065","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4401","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","22-Nov-2024","Partha Pratim Chhatait","Payment Success","118018"
"20066","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4152","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","25-Sep-2025","Partha Pratim Chhatait","Payment Success","126947"
"20067","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4391","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","26-Jun-2024","Ajit Kumar Paul","Payment Success","126552"
"20068","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4393","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","26-Jun-2024","Ajit Kumar Paul","Payment Success","124957"
"20069","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4392","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","26-Jun-2024","Ajit Kumar Paul","Payment Success","125524"
"20070","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4394","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","18-Jun-2024","GORAI CONSTRUCTION","Payment Success","124141"
"20071","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4206","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","26-Jun-2024","Uttam Kumar Sinhamahapatra","Payment Success","133422"
"20072","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4205","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","26-Jun-2024","Uttam Kumar Sinhamahapatra","Payment Success","130839.25"
"20073","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4204","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","26-Jun-2024","Uttam Kumar Sinhamahapatra","Payment Success","130839.25"
"20074","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4207","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","26-Jun-2024","Uttam Kumar Sinhamahapatra","Payment Success","130839.25"
"20075","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4208","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","26-Jun-2024","Uttam Kumar Sinhamahapatra","Payment Success","130839.25"
"20076","West Bengal","Installing tube-wells and borewells","WS/MP220/2023-2024/4210","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Derek O' Brien (2017-23) (2017-2023)","Elected MP","24-Sep-2025","Uttam Kumar Sinhamahapatra","Payment Success","181349"
"20077","Mizoram","Construction of footpaths and pedestrian ways","WS/MP129/2023-2024/59959","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","25-Jun-2024","Zonuam YMA","Payment Success","250000"
"20078","Mizoram","Construction of footpaths and pedestrian ways","WS/MP129/2023-2024/59959","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","19-Dec-2024","Zonuam YMA","Payment Success","250000"
