"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"9348","Normal/Others","WS/MP136/2023-2024/92696-Purchase of furniture and fixtures for educational purposes","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Supply of Bench Desks and other Furniture for Soringpadar High School","31-Jan-2024","550000","22-Feb-2024"
"9349","Normal/Others","WS/MP076/2025-2026/92706-Construction of common work sheds/ common covered sitting area","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Construction of Multi Purpose shed for Dada khandera Bhawan  Gram Panchayat Bhatol Jatan Distt.Hissar","31-Jan-2024","500000","08-Apr-2025"
"9350","Normal/Others","WS/MP837/2023-2024/92716-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","Construction of railing and C.C. marg in S.C. basti Dugadda to Odarsu in village Thikmalduggda Tehsil Dhanolty, Block Jaunpur, District Tehri Garhwal","31-Jan-2024","500000","16-Feb-2024"
"9351","Normal/Others","WS/MP837/2023-2024/92766-Construction of bus-sheds or bus-stops","Gujarat","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","Construction of passenger waiting room in Kendra Village Thik Tehsil Dhanolty, Block Jaunpur, District Tehri Garhwal","31-Jan-2024","500000","16-Feb-2024"
"9352","Normal/Others","WS/MP076/2024-2025/92769-Construction of boundary walls of existing public and community buildings","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Construction of retaining wall for Darwaja pana community Pond Gram Panchayat Kultana distt.Rohtak","31-Jan-2024","1000000","29-Jul-2024"
"9353","Normal/Others","WS/MP030/2023-2024/92883-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA)","Shri V. Vijayasai Reddy (2022-25) (2022-2025)","Elected MP","Providing BT road at a) Banyan tree culvert b) Veterinary hospital culvert in Ramachandrapuram Village of Mangalagiri Tadepalli Municipal Corporation, Guntur District.","31-Jan-2024","871811","07-Feb-2024"
"9354","Normal/Others","WS/MP066/2024-2025/92886-Purchase of immovable sports equipment","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Purchase of immovable Sports equipmentat Shivganga Vatika behind bus Stand","31-Jan-2024","499800","05-Mar-2025"
"9355","Normal/Others","WS/MP066/2023-2024/92944-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Construction of CC Road from the Residence of Shri Maganbhai Ukabhai Gol to the residence of Shri Harjibhai Parvadiya.","31-Jan-2024","500000","15-Mar-2024"
"9356","Normal/Others","WS/MP066/2023-2024/92954-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Construction of CC Road from the Residence of Shri Karsanbhai Bavabhai Vamja to the Residence of Late Karsanbhai Dhanjibhai Vamja","31-Jan-2024","500000","01-Mar-2024"
"9357","Normal/Others","WS/MP066/2023-2024/92958-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Construction of CC Road from the residence of Late Karsanbhai Dhanjibhai Vamja to the residence of Shri Ramjibhai Makanbhai Vamja.","31-Jan-2024","500000","01-Mar-2024"
"9358","Normal/Others","WS/MP039/2024-2025/93069-Construction of boundary walls of existing public and community buildings","Assam","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Kamakhya Prasad Tasa (2019-24) (2019-2024)","Elected MP","Construction of Boundary Wall At Sivasagar Swimming Poll. Sibsagar Municipalty Board Ward No. 14 Name of Facilitator. Raghvendra Joshi, 9435055353","01-Feb-2024","1000000","31-Jul-2024"
"9359","Normal/Others","WS/MP039/2024-2025/93077-Construction of community centers and community halls","Assam","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Kamakhya Prasad Tasa (2019-24) (2019-2024)","Elected MP","Construction of Office Building At ATTSA Amguri Haluating Grant, Haluating Bozar, Amguri G.P. Amguri Development Block Name of Facilitator. Biren Gowalla 9957439779","01-Feb-2024","1000000","05-Jul-2024"
"9360","Normal/Others","WS/MP039/2023-2024/93090-Construction of buildings for sports facilities","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Kamakhya Prasad Tasa (2019-24) (2019-2024)","Elected MP","TAC Cricket Academy, Jorhat Garmur Duliapam Gaon, Napam 53 No. Uttar Garmur G.P. Jorhat Development Block, Baghchung Name of Facilitator. Bhobani Tasa 9435096137","01-Feb-2024","2000000","16-Mar-2024"
"9361","Normal/Others","WS/MP008/2023-2024/93095-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","Construction of CC Road from Ransu Road till Shani Kund","01-Feb-2024","6110000","24-Feb-2024"
"9362","Normal/Others","WS/MP008/2023-2024/93099-Construction of public toilets and bathrooms","Madhya Pradesh","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","Construction of Public Toilet in Shani Parikrama Marg, Near Baba Ashram","01-Feb-2024","2440000","24-Feb-2024"
"9363","Normal/Others","WS/MP008/2023-2024/93103-Street lights","Madhya Pradesh","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","Construction of Street Lighting in Shanidev Parikrama Marg from Ransu Road to Shani Kund Road","01-Feb-2024","1353250","06-Mar-2024"
"9364","Normal/Others","WS/MP837/2023-2024/93130-Development of playground","Gujarat","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","Construction of protection wall of playground in village Kinsu, Tehsil Dhanolty, Block Jaunpur, District Tehri Garhwal","01-Feb-2024","500000","16-Feb-2024"
"9365","Normal/Others","WS/MP066/2023-2024/93275-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Construction of Paver Block Road from the residence of Shri Maganbhai Punjabhai Limbasiya to the residence of Shri Bhupatbhai Bavabhai Gojariya.","01-Feb-2024","500000","07-Mar-2024"
"9366","Normal/Others","WS/MP184/2023-2024/93283-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from Pitch Road to Sushil Mishra ji's house in Gram Sabha Shambhupur. Length 30 Meter","01-Feb-2024","89444","17-Feb-2024"
"9367","Normal/Others","WS/MP184/2023-2024/93284-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from Pitch Road to Dabbu Singh's farm in Gram Sabha-Tendui. length 199 Meter","01-Feb-2024","875001","17-Feb-2024"
"9368","Normal/Others","WS/MP066/2023-2024/93287-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Construction of Block Paver Road from Bholanath Temple to the Plot Area","01-Feb-2024","500000","07-Mar-2024"
"9369","Normal/Others","WS/MP066/2025-2026/93293-Construction of boundary walls of existing public and community buildings","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Construction of Compound Wall to the Primary School.","01-Feb-2024","500000","17-May-2025"
"9370","Normal/Others","WS/MP060/2024-2025/93294-Construction of culverts and bridges","Gujarat","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","Dr. Amee Yajnik (2018-24) (2018-2024)","Elected MP","Construction of Causeway on the way of Mansukhbhai Talshibhai's farm","01-Feb-2024","346595","10-Jun-2024"
"9371","Normal/Others","WS/MP066/2024-2025/93298-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Construction of Cause Way Road near Primary School","01-Feb-2024","500000","05-Mar-2025"
"9372","Normal/Others","WS/MP066/2023-2024/93301-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Construction of Block Paver Road from the residence of Shri Keshubhai Lalbhai to the residence of Shri Kalubhai Vallabhbhai.","01-Feb-2024","500000","15-Mar-2024"
"9373","Normal/Others","WS/MP066/2024-2025/93304-Construction of public toilets and bathrooms","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Construction of Snanghat","01-Feb-2024","500000","05-Mar-2025"
"9374","Normal/Others","WS/MP066/2023-2024/93308-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Construction of Block Paver Road from the residence of Shri Rameshbhai Gadhiya to the residence of Shri Sureshbhai Nakrani.","01-Feb-2024","500000","15-Mar-2024"
"9375","Normal/Others","WS/MP066/2025-2026/93325-Construction of boundary walls of existing public and community buildings","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Construction of Compound Wall to the Proposed Garden on Amreli Road.","15-Feb-2024","400000","25-Aug-2025"
"9376","Normal/Others","WS/MP029/2023-2024/93346-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Ryaga Krishnaiah (2022-24) (2022-2024)","Elected MP","Construction Of C.C road (Bit-I) at Peddapalem G.P Of Vidavaluru Mandal,SPS Nellore District","01-Feb-2024","499833","13-Feb-2024"
"9377","Normal/Others","WS/MP029/2023-2024/93347-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Ryaga Krishnaiah (2022-24) (2022-2024)","Elected MP","Construction Of C.C road (Bit-II) at Peddapalem G.P Of Vidavaluru Mandal,SPS Nellore District","01-Feb-2024","499600","13-Feb-2024"
"9378","Normal/Others","WS/MP029/2023-2024/93348-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Ryaga Krishnaiah (2022-24) (2022-2024)","Elected MP","Construction Of C.C road from J.Sudhakar(H) to Venkatareddy  (H)  at 4th Ward Of Buchireddypalem Nagara Panchayat & Mandal, SPS Nellore District","01-Feb-2024","245545","13-Feb-2024"
"9379","Normal/Others","WS/MP029/2023-2024/93349-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Ryaga Krishnaiah (2022-24) (2022-2024)","Elected MP","Construction Of Pial at New SC Colony Of 2nd Ward in Buchireddypalem Nagara Panchayat & Mandal, SPS Nellore District","01-Feb-2024","295393","13-Feb-2024"
"9380","Normal/Others","WS/MP029/2023-2024/93350-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Ryaga Krishnaiah (2022-24) (2022-2024)","Elected MP","Construction Of CC Road at 5th Ward in Buchireddypalem Nagara Panchayat & Mandal, SPS Nellore District","01-Feb-2024","494342","13-Feb-2024"
"9381","Normal/Others","WS/MP029/2023-2024/93351-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Ryaga Krishnaiah (2022-24) (2022-2024)","Elected MP","Construction Of C.C road at Harizana Wada Of Kudithipalem Village & G.P inIndukurpeta Mandal, SPS Nellore District","01-Feb-2024","449622","13-Feb-2024"
"9382","Normal/Others","WS/MP184/2023-2024/93356-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from Satyanarayan Patel Pradhan's house to Bhola Patel's house in Gram Sabha-Kursato. length 108 Meter","01-Feb-2024","600485","17-Feb-2024"
"9383","Normal/Others","WS/MP184/2023-2024/93357-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from village Khanda irrigation canal to the house of Ram Avadh Verma. length 59 Meter","01-Feb-2024","237042","17-Feb-2024"
"9384","Normal/Others","WS/MP184/2023-2024/93358-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from Kamla Prasad's house to Vansh Narayan's house in Gram Sabha-Maharajpur. Length 98 Meter","01-Feb-2024","394494","17-Feb-2024"
"9385","Normal/Others","WS/MP184/2023-2024/93359-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from next to Munna Singh's house to Bhagga Singh's house in Gram Sabha- Kathmungaria. length 58 Meter","01-Feb-2024","269451","17-Feb-2024"
"9386","Normal/Others","WS/MP066/2023-2024/93361-Providing drains and gutters for public drainage","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","Providing and construction of Drainage Gutter line near Dalitvas and From Vonkala to the Residence of Mansukhbhai Sangani (SC Component)","01-Feb-2024","500000","07-Mar-2024"
"9387","Normal/Others","WS/MP066/2023-2024/93371-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","To construct Block Paver Road in the Dalitwas (SC) To change the suggested work vide letter MP/09/2021 Dt.30/08/2021","01-Feb-2024","500000","15-Mar-2024"
"9388","Normal/Others","WS/MP184/2023-2024/93373-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Construction of road from Pitch Road near Katra of Ramasare to Harishankar's house in Gram Sabha-Harsos. length 93 Meter","01-Feb-2024","434542","17-Feb-2024"
"9389","Normal/Others","WS/MP184/2023-2024/93374-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","In Gram Sabha-Jansa, interlocking work from RCC Tiraha near the house of Kallu alias Kauleshwar Prasad Maurya to the intersection near Amit Kumar Maurya's house. Length 122 Meter","01-Feb-2024","351267","17-Feb-2024"
"9390","Normal/Others","WS/MP184/2023-2024/93375-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","In Gram Sabha-Chaukhandi, interlocking work near Ajay Kumar's house and interlocking work near Mehi Lal's house. length 32.25 Meter","01-Feb-2024","103546","17-Feb-2024"
"9391","Normal/Others","WS/MP184/2023-2024/93376-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Pitch Road near Ramjatan's house to Shiv Prasad's house in Gram Sabha- Veerbhanpur. length 125 Meter","01-Feb-2024","488979","17-Feb-2024"
"9392","Normal/Others","WS/MP184/2023-2024/93395-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Khadanja to Ramchander's house near Shivlal's shop in Gram Sabha- Harsos. length 93.60 Meter","01-Feb-2024","280675","17-Feb-2024"
"9393","Normal/Others","WS/MP184/2023-2024/93396-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Khadanja near Sevalal's house to  Kamlesh's house in Gram Sabha-Admapur. Length 43 Meter","01-Feb-2024","195876","17-Feb-2024"
"9394","Normal/Others","WS/MP184/2023-2024/93407-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Khadanja to Muniraj's machine near Rajesh Patel's house in Gram Sabha- Amini. length 61.50 Meter","01-Feb-2024","310550","17-Feb-2024"
"9395","Normal/Others","WS/MP184/2023-2024/93408-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work near Shri Ram's house in Gram Sabha-Kardhna from Khadanja near Lal Bahadur Singh's house. length 130.50","01-Feb-2024","258662","17-Feb-2024"
"9396","Normal/Others","WS/MP184/2023-2024/93409-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Gram Sabha- Interlocking work from Ramdhani's well to Shailendra's house in Chakrapanpur. length 102.60","01-Feb-2024","147607","17-Feb-2024"
"9397","Normal/Others","WS/MP076/2023-2024/93420-Construction of toilet blocks","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Construction of Toilet blocks in Balbhawan Hisar  for Chairman  Bal kalyan Parishad Hisar dupty commissioner Hisar","01-Feb-2024","453008","14-Mar-2024"
"9398","Normal/Others","WS/MP184/2023-2024/93424-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from the field of river Rajbhar to the culvert in Gram Sabha-Bhimchandi. length 143 Meter","01-Feb-2024","541201","17-Feb-2024"
"9399","Normal/Others","WS/MP184/2023-2024/93425-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from the house of Yogendra Narayan Singh in Mauja Laxminpur of Gram Sabha Veersinghpur via the house of Mata Prasad Singh to the house of Shitala Sharan Singh. length 90.80 Meter","01-Feb-2024","505411","17-Feb-2024"
"9400","Normal/Others","WS/MP184/2023-2024/93426-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Pitch Road to Sheetla Prasad's house in Gram Sabha-Gaur Madhukarshahpur. length 85.90 Meter","01-Feb-2024","337140","17-Feb-2024"
"9401","Normal/Others","WS/MP184/2023-2024/93446-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Road construction from National Highway to Samma Mai Temple Canal. length 35 Meter","01-Feb-2024","330363","17-Feb-2024"
"9402","Normal/Others","WS/MP184/2023-2024/93447-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Pravesh Tiwari's house to Anand Tiwari's house in Gram Sabha - Lohardih. length 41 Meter","01-Feb-2024","180225","17-Feb-2024"
"9403","Normal/Others","WS/MP184/2023-2024/93448-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking from Pitch Road to Chaura Mata Mandir in Gram Sabha-Khagrampur Rane. length 108 Meter","01-Feb-2024","529229","17-Feb-2024"
"9404","Normal/Others","WS/MP069/2023-2024/93459-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","For the work of laying paver blocks on the road to Main Bazar Chowk at Dabhali village of Dhari taluka","01-Feb-2024","500000","12-Mar-2024"
"9405","Normal/Others","WS/MP076/2023-2024/93464-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water Tanker for Gram Panchayat Kharbla Bolck Bass Distt.Hissar ( Capicaty 5000 ltrs with motor fitted and new tyers)","01-Feb-2024","155000","14-Mar-2024"
"9406","Normal/Others","WS/MP184/2023-2024/93467-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Panchayat Bhawan in Gram Sabha-Bankat to the house of Dr. Santosh Maurya. length 55 meter","01-Feb-2024","340960","17-Feb-2024"
"9407","Normal/Others","WS/MP184/2023-2024/93476-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Pitch Road to Vinod Singh's machine in Gram Sabha-Lalpur. length 180 meter","01-Feb-2024","794586","17-Feb-2024"
"9408","Normal/Others","WS/MP179/2023-2024/93477-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Ashok Bajpai (2018-24) (2018-2024)","Elected MP","R.C.C/Damar Road ka construction hona hai..Letter attached hai..(Estimated Amount-7 Lakh) Motimahal,2- Rana Pratap Marg, Lucknow ke Bal kalyan Office se Shredhey Gupta ji ke samadhi sthal hote hue Birla Chatravas tak R.C.C./Damar Road ka construction hona hai...","01-Feb-2024","699242","04-Mar-2024"
"9409","Normal/Others","WS/MP184/2023-2024/93479-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Pitch Road to Brahmin Basti in Gram Sabha- Chitrasenpur. length 48 meter","01-Feb-2024","230212","17-Feb-2024"
"9410","Normal/Others","WS/MP184/2023-2024/93480-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from pitch road to government tube well in Gram Sabha-pure. length 142 Meter","01-Feb-2024","535364","17-Feb-2024"
"9411","Normal/Others","WS/MP142/2023-2024/93484-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Punjab","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Shri Sanjeev Arora (2022-25) (2022-2025)","Elected MP","Construction of New Rooms for OPD Block, Near Mani block at PHC in Kirtarpur Sahib, Roopnagar","01-Feb-2024","2500000","05-Mar-2024"
"9412","Normal/Others","WS/MP179/2024-2025/93490-Providing drains and gutters for public drainage","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Ashok Bajpai (2018-24) (2018-2024)","Elected MP","Bhartendu Harishchandra Ward-75 me Saheed Mangal Pandey park ke kone se shri Banarjee ke ghar tak Interlocking and drain construction ka work hona hai..","01-Feb-2024","463500","18-Sep-2024"
"9413","Normal/Others","NA-Construction of community centers and community halls","Gujarat","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","Construction of community hall at Nana Charodiya village of Gariadhar taluka.","01-Feb-2024","500000","NA"
"9414","Normal/Others","WS/MP184/2023-2024/93493-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Pramod Singh's house to Shammo Devi temple in Gram Sabha-Bhadrasi. length 189 Meter","01-Feb-2024","491934","17-Feb-2024"
"9415","Normal/Others","WS/MP184/2023-2024/93494-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","From Bhrigu Singh's house to Hariram Maurya's house in Gram Sabha-Tikri. length 163 Meter","01-Feb-2024","858210","17-Feb-2024"
"9416","Normal/Others","WS/MP184/2023-2024/93495-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri G.V.L. Narasimha Rao (2018-24) (2018-2024)","Elected MP","Interlocking work from Lal Chandra Vishwakarma's house to Shankar ji's temple in Gram Sabha- Gangpur. length 278 m","01-Feb-2024","1360033","17-Feb-2024"
