"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"103","Gujarat","Shri Jugalsinh Lokhandwala (2019-23) (2019-2023)","Elected MP","73500000"
"104","Madhya Pradesh","Shri Jyotiraditya M. Scindia (2020-24) (2020-2024)","Elected MP","98063957.11"
"105","Tamil Nadu","Shri K. R. Arjunan (2013-19) (2013-2019)","Elected MP","24500000"
"106","Karnataka","Shri K. Rahman Khan (2012-18) (2012-2018)","Elected MP","176166"
"107","Kerala","Shri K. Somaprasad (2016-22) (2016-2022)","Elected MP","44100000"
"108","Mizoram","Shri K. Vanlalvena (2020-26) (2020-2026)","Elected MP","171563957.11"
"109","Karnataka","Shri K.C. Ramamurthy (2016-19) (2016-2019)","Elected MP","15152546"
"110","Rajasthan","Shri K.C. Venugopal (2020-24) (2020-2024)","Elected MP","98063957.11"
"111","Kerala","Shri K.K. Ragesh (2015-21) (2015-2021)","Elected MP","24500000"
"112","Telangana","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","196264676.11"
"113","Tamil Nadu","Shri K.R.N. Rajeshkumar (2021-22) (2021-2022)","Elected MP",""
"114","Delhi","Shri K.T.S. Tulsi (2014-20) (2014-2020)","Nominated MP","40098744.94"
"115","Chhattisgarh","Shri K.T.S. Tulsi (2020-26) (2020-2026)","Elected MP","176045865.87"
"116","Madhya Pradesh","Shri Kailash Soni (2018-24) (2018-2024)","Elected MP","77783139.26"
"117","Assam","Shri Kamakhya Prasad Tasa (2019-24) (2019-2024)","Elected MP","98063957.11"
"118","Andhra Pradesh","Shri Kanakamedala Ravindra Kumar (2018-24) (2018-2024)","Elected MP","98063957.11"
"119","Haryana","Shri Krishan Lal Panwar (2022-24) (2022-2024)","Elected MP","98063957.11"
"120","Maharashtra","Shri Kumar Ketkar (2018-24) (2018-2024)","Elected MP","73563957.11"
"121","Madhya Pradesh","Shri La. Ganesan (2016-18) (2016-2018)","Elected MP","140000"
"122","Madhya Pradesh","Shri M. J. Akbar (2016-22) (2016-2022)","Elected MP","6321914.12"
"123","Tamil Nadu","Shri M. Mohamed Abdulla (2021-25) (2021-2025)","Elected MP","165155545.11"
"124","Tamil Nadu","Shri M. Shanmugam (2019-25) (2019-2025)","Elected MP","149674366"
"125","Karnataka","Shri M.V. Rajasekharan (2002-08) (2002-2008)","Elected MP","1167892"
"126","Manipur","Shri Maharaja Sanajaoba Leishemba (2020-26) (2020-2026)","Elected MP","171563957.11"
"127","Uttarakhand","Shri Mahendra Singh Mahra (2012-18) (2012-2018)","Elected MP","44277607.96"
"128","Delhi","Shri Mahesh Jethmalani (2021-24) (2021-2024)","Nominated MP","122563957.11"
"129","Jharkhand","Shri Mahesh Poddar (2016-22) (2016-2022)","Elected MP","24500000"
"130","Karnataka","Shri Mallikarjun Kharge (2020-26) (2020-2026)","Elected MP","196000000"
"131","Andhra Pradesh","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","73767912"
"132","Assam","Shri Mission Ranjan Das (2024-25) (2024-2025)","Elected MP","24500000"
"133","West Bengal","Shri Mohammed Nadimul Haque (2018-24) (2018-2024)","Elected MP","117663957.11"
"134","Gujarat","Shri Mokariya Rambhai (2021-26) (2021-2026)","Elected MP","196063957.11"
"135","Chhattisgarh","Shri Motilal Vora (2014-20) (2014-2020)","Elected MP",""
"136","Odisha","Shri Muzibulla Khan (2020-26) (2020-2026)","Elected MP","171563957.11"
"137","Tamil Nadu","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","171563957.11"
"138","Puducherry","Shri N. Gokulakrishnan (2015-21) (2015-2021)","Elected MP","4924233"
"139","Tamil Nadu","Shri N.R. Elango (2020-26) (2020-2026)","Elected MP","211455766.02"
"140","Arunachal Pradesh","Shri Nabam Rebia (2020-26) (2020-2026)","Elected MP","147063957.11"
"141","Delhi","Shri Narain Dass Gupta (2018-24) (2018-2024)","Elected MP","98000000"
"142","Gujarat","Shri Naranbhai J. Rathwa (2018-24) (2018-2024)","Elected MP","73563957.11"
"143","Maharashtra","Shri Narayan Rane (2018-24) (2018-2024)","Elected MP","117663957.11"
"144","Karnataka","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","202146407.11"
"145","Gujarat","Shri Narhari Amin (2020-26) (2020-2026)","Elected MP","196063957.11"
"146","Rajasthan","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","171563957.11"
"147","Uttar Pradesh","Shri Neeraj Shekhar (2014-19) (2014-2019)","Elected MP",""
"148","Uttar Pradesh","Shri Neeraj Shekhar (2019-20) (2019-2020)","Elected MP",""
"149","Odisha","Shri Niranjan Bishi (2022-26) (2022-2026)","Elected MP","172778176.82000002"
"150","Karnataka","Shri Oscar Fernandes (1998-21) (1998-2021)","Elected MP","58442479.9"
"151","West Bengal","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","73500000"
"152","Puducherry","Shri P. Kannan (2009-15) (2009-2015)","Elected MP",""
"153","Tamil Nadu","Shri P. Wilson (2019-25) (2019-2025)","Elected MP","171563957.11"
"154","Andhra Pradesh","Shri Parimal Nathwani (2020-26) (2020-2026)","Elected MP","205445595.11"
"155","Gujarat","Shri Parshottam Rupala (2018-24) (2018-2024)","Elected MP","73563957.11"
"156","Punjab","Shri Partap Singh Bajwa (2016-22) (2016-2022)","Elected MP","46509331.15"
"157","Maharashtra","Shri Piyush Goyal (2016-22) (2016-2022)","Elected MP","117600000"
"158","Maharashtra","Shri Piyush Goyal (2022-24) (2022-2024)","Elected MP","49000000"
"159","Andhra Pradesh","Shri Prabhakar Reddy Vemireddy (2018-24) (2018-2024)","Elected MP","98063957.11"
"160","Madhya Pradesh","Shri Prabhat Jha (2014-20) (2014-2020)","Elected MP","8043640"
"161","Maharashtra","Shri Praful Patel (2016-22) (2016-2022)","Elected MP","68600000"
"162","Maharashtra","Shri Praful Patel (2022-24) (2022-2024)","Elected MP","52047637.11"
"163","West Bengal","Shri Prakash Chik Baraik (2023-26) (2023-2026)","Elected MP","121837108"
"164","Madhya Pradesh","Shri Prakash Javadekar (2014-18) (2014-2018)","Elected MP","27133031.87"
"165","Maharashtra","Shri Prakash Javadekar (2018-24) (2018-2024)","Elected MP","142100000"
"166","Bihar","Shri Prem Chand Gupta (2020-26) (2020-2026)","Elected MP","245372866.11"
"167","Uttar Pradesh","Shri Rajaram (2008-20) (2008-2020)","Elected MP","5633284.02"
"168","Karnataka","Shri Rajeev Chandrasekhar (2018-24) (2018-2024)","Elected MP","118546026.67999999"
"169","Rajasthan","Shri Rajendra Gehlot (2020-26) (2020-2026)","Elected MP","150090578.11"
"170","Madhya Pradesh","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","73563957.11"
"171","Bihar","Shri Rakesh Sinha (2018-24) (2018-2024)","Nominated MP","122563957.11"
"172","Haryana","Shri Ram Chander Jangra (2020-26) (2020-2026)","Elected MP","196063957.11"
"173","Bihar","Shri Ram Chandra Prasad Singh (2010-16) (2010-2016)","Elected MP","196000000"
"174","Bihar","Shri Ram Nath Thakur (2020-26) (2020-2026)","Elected MP","179009001"
"175","Uttar Pradesh","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","75563527.11"
"176","Maharashtra","Shri Ramdas Bandu Athawale (2020-26) (2020-2026)","Elected MP","171563957.11"
"177","Assam","Shri Rameswar Teli (2024-26) (2024-2026)","Elected MP","73500000"
"178","Karnataka","Shri Rangasayee Ramakrishna (2012-18) (2012-2018)","Elected MP","1271204"
"179","Assam","Shri Ranjan Gogoi (2020-26) (2020-2026)","Nominated MP","196063957.11"
"180","Telangana","Shri Ravi Chandra Vaddiraju (2022-24) (2022-2024)","Elected MP","84830299"
"181","Bihar","Shri Ravi Shankar Prasad (2018-19) (2018-2019)","Elected MP","24500000"
"182","Rajasthan","Shri Ravneet Singh (2024-26) (2024-2026)","Elected MP","73500000"
"183","Uttar Pradesh","Shri Rewati Raman Singh (2016-22) (2016-2022)","Elected MP","5972503"
"184","West Bengal","Shri Ritabrata Banerjee (2024-26) (2024-2026)","Elected MP","73500000"
"185","Andhra Pradesh","Shri Ryaga Krishnaiah (2022-24) (2022-2024)","Elected MP","75731241"
"186","Gujarat","Shri S. Jaishankar (2019-23) (2019-2023)","Elected MP","73500000"
"187","Uttar Pradesh","Shri Sakaldeep Rajbhar (2018-24) (2018-2024)","Elected MP","117663957.11"
"188","West Bengal","Shri Saket Gokhale (2023-26) (2023-2026)","Elected MP","122500000"
"189","Maharashtra","Shri Sambhaji Chhatrapati (2016-22) (2016-2022)","Nominated MP","44100000"
"190","Jharkhand","Shri Samir Oraon (2018-24) (2018-2024)","Elected MP","73563957.11"
"191","Andhra Pradesh","Shri Sana Sathish Babu (2024-26) (2024-2026)","Elected MP","73436022"
"192","Maharashtra","Shri Sanjay Raut (2016-22) (2016-2022)","Elected MP","117600000"
"193","Delhi","Shri Sanjay Singh (2018-24) (2018-2024)","Elected MP","116682000.00000001"
"194","Punjab","Shri Sanjeev Arora (2022-25) (2022-2025)","Elected MP","180989354.25"
"195","Assam","Shri Sarbananda Sonowal (2021-24) (2021-2024)","Elected MP","73563957.11"
"196","Uttar Pradesh","Shri Satish Chandra Misra (2016-22) (2016-2022)","Elected MP","504700000"
"197","Madhya Pradesh","Shri Satyavrat Chaturvedi (2012-18) (2012-2018)","Elected MP","9625279.16"
"198","Gujarat","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","196063957.11"
"199","Punjab","Shri Shamsher Singh Dullo (2016-22) (2016-2022)","Elected MP","3630858"
"200","Maharashtra","Shri Sharad Pawar (2020-26) (2020-2026)","Elected MP","196414120.11"
"201","Jharkhand","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","227628508.2"
"202","Uttar Pradesh","Shri Shiv Pratap Shukla (2016-22) (2016-2022)","Elected MP","26570444.26"
"203","Andhra Pradesh","Shri Subhas Chandra Bose Pilli (2020-26) (2020-2026)","Elected MP","196063957.11"
"204","West Bengal","Shri Subhasish Chakraborty (2018-24) (2018-2024)","Elected MP","98063957.11"
"205","West Bengal","Shri Subrata Bakshi (2020-26) (2020-2026)","Elected MP","196063957.11"
"206","Odisha","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","122563957.11"
"207","Odisha","Shri Sujeet Kumar (2024-26) (2024-2026)","Elected MP","73500000"
"208","West Bengal","Shri Sukhendu Sekhar Ray (2017-23) (2017-2023)","Elected MP","93100000"
"209","West Bengal","Shri Sukhendu Sekhar Ray (2023-26) (2023-2026)","Elected MP","98000000"
"210","Kerala","Shri Suresh Gopi (2016-22) (2016-2022)","Nominated MP","24500000"
"211","Andhra Pradesh","Shri Suresh Prabhu (2016-22) (2016-2022)","Elected MP","93431947.17"
"212","Delhi","Shri Sushil Kumar Gupta (2018-24) (2018-2024)","Elected MP","166663957.11"
"213","Bihar","Shri Sushil Kumar Modi (2020-24) (2020-2024)","Elected MP","73563957.11"
"214","Uttar Pradesh","Shri Syed Zafar Islam (2020-22) (2020-2022)","Elected MP","24500000"
"215","Andhra Pradesh","Shri T.G. Venkatesh (2016-22) (2016-2022)","Elected MP","44100000"
"216","Uttarakhand","Shri Tarun Vijay (2010-16) (2010-2016)","Elected MP","54414135.6"
"217","Tamil Nadu","Shri Tiruchi Siva (2020-26) (2020-2026)","Elected MP","186955766.03"
"218","Bihar","Shri Upendra Kushwaha (2024-26) (2024-2026)","Elected MP","112700000"
