"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"69","Normal/Others","WS/MP076/2023-2024/1804-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Chikanwas Distt. Hisar ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","02-Aug-2023","150000","Physical Inspection"
"70","Normal/Others","WS/MP076/2023-2024/1805-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for ward no 19 Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","19-Oct-2023","157000","Physical Inspection"
"71","Normal/Others","WS/MP076/2023-2024/1806-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for ward 2 Community center Thurana Distt. Hisar ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","07-Nov-2023","157000","Vendor Identification"
"72","Normal/Others","WS/MP076/2024-2025/1817-Purchase of mobile water tankers","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat kultana distt Rohtak","29-Jun-2023","17-Dec-2024","155000","Work Completed"
"73","Normal/Others","WS/MP076/2024-2025/1818-Purchase of mobile water tankers","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for Govt. High School kultana distt Rohtak","29-Jun-2023","17-Dec-2024","155000","Work Completed"
"74","Normal/Others","WS/MP076/2023-2024/1819-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Gram Panchyat Lohani Distt. Bhiwani ( Capacity 5000 Liters with motor fitted and new tyers .","29-Jun-2023","19-Oct-2023","157000","Physical Inspection"
"75","Normal/Others","WS/MP076/2023-2024/1820-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Gram Panchyat Thilod Distt. Bhiwani ( Capacity 5000 Liters with motor fitted and new tyers .","29-Jun-2023","19-Oct-2023","157000","Physical Inspection"
"76","Normal/Others","WS/MP076/2023-2024/1821-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Gram Panchyat Sai Distt. Bhiwani ( Capacity 5000 Liters with motor fitted and new tyers .","29-Jun-2023","19-Oct-2023","157000","Physical Inspection"
"77","Normal/Others","WS/MP076/2023-2024/1822-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Gram Panchayat Gujrani Distt. Bhiwani ( Capacity 5000 Liters with motor fitted and new tyers .","29-Jun-2023","19-Oct-2023","157000","Physical Inspection"
"78","Normal/Others","WS/MP076/2023-2024/1823-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Gram Panchyat Kanwari  Distt. Hisar ( Capacity 5000 Liters with motor fitted and new tyers .","29-Jun-2023","28-Jul-2023","155000","Physical Inspection"
"79","Normal/Others","WS/MP076/2023-2024/1824-Construction of community centers and community halls","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Construction to complate unfinished  work in chaupal situated in the centre of village Kanwari Distt Hisar (Nangliya Pana Choupal)","29-Jun-2023","30-Oct-2023","497630","Sanction"
"80","Normal/Others","WS/MP076/2023-2024/1825-Construction of boundary walls of existing public and community buildings","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Complition  of boundary wall Mahila Khel ground in Gram Panchyat Kanwari Distt Hisar","29-Jun-2023","30-Oct-2023","248797","Work Completed"
"81","Normal/Others","WS/MP221/2024-2025/1826-Purchase of IT systems, including hardware and software for educational purposes","West Bengal","PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Installation of 20 Computers, 2 Printers-cum-Scanner for Lab & 200  Ornate Chairs for Seminar Hall & Books & Storage Almirahs of Ramakrishna Mission Ashrama, Vivekananda Sarani, Asansol.","29-Jun-2023","11-Sep-2024","1619751","Vendor Identification"
"82","Normal/Others","WS/MP221/2023-2024/1827-Construction of community centers and community halls","West Bengal","PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Remaining Part of 1st Floor of Lions Asansol East, ADDA & B. S. Gopalka Memorial Netralaya, ADDA Industrial Estate, Kanyapur, Plot no. INS-05, Mouza-Gobindpur, J. L. No. 18","29-Jun-2023","22-Nov-2023","1866997","Physical Inspection"
"83","Normal/Others","WS/MP221/2023-2024/1828-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Additional Classroom at Jamini Roy College","29-Jun-2023","04-Jan-2024","2000000","Vendor Identification"
"84","Normal/Others","WS/MP221/2023-2024/1829-Construction of community centers and community halls","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Conf. Hall at 1st Floor of Taki Rakta Rabi Sangha, Mouza-Taki, JL No. 51, Khatian No. 1975/1, Dag No. 1407, Ward No. 04, Taki Municipality, PS – Hasnabad, District-N 24 prgs","29-Jun-2023","11-Mar-2024","478815","Physical Inspection"
"85","Normal/Others","WS/MP221/2023-2024/1830-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURULIA(DISTRICT MAGISTRATE PURULIA_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of New PCC Road starting frm Hasda Babu House upto Parimal Sen House, Mandal Babu to Anupam Das & Nimai Nandi Goli opposite Bhatbandh Pond within Ward No.5- Purulia Municipality","29-Jun-2023","25-Jan-2024","672411","Physical Inspection"
"86","Normal/Others","WS/MP221/2023-2024/1831-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Blacktop Road at N. V. Lane Sarkarpara from Opposite of Apanjan Club to Niloy Mitra Shop at Ward No. 16 under Rajpur-Sonarpur Municipality, District-South 24 Parganas","29-Jun-2023","21-Feb-2024","902719","Work Completed"
"87","Normal/Others","WS/MP221/2023-2024/1832-Construction of rooms and halls in school and colleges","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Additional Classroom for English Medium Section of Kalna Maharaja’s High School","29-Jun-2023","06-Dec-2023","1000000","Physical Inspection"
"88","Normal/Others","WS/MP221/2023-2024/1833-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Cement Concrete Road with Drain.","29-Jun-2023","11-Mar-2024","2428037","Physical Inspection"
"89","Normal/Others","WS/MP221/2023-2024/1835-Construction of rooms and halls in school and colleges","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Classroom along with ‘SMART CLASS’ with Laptop, Screen and other computer related components","29-Jun-2023","10-Jan-2024","1381194","Physical Inspection"
"90","Normal/Others","WS/MP221/2023-2024/1837-Construction of additional rooms and halls in the existing public and community building","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Guest Room Building","29-Jun-2023","18-Jan-2024","1283189","Physical Inspection"
"91","Normal/Others","WS/MP221/2023-2024/1838-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of K. C. Dutta Road from Misrapara to N. S. Bose Road at Ward No. 17 under Rajpur-Sonarpur Municipality, District-South 24 Parganas","29-Jun-2023","08-Feb-2024","1050000","Work Completed"
"92","Normal/Others","WS/MP221/2024-2025/1839-Purchase of IT systems, including hardware and software for educational purposes","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Purchase of 15 chess clocks, 50 chess sets, infrastructure development & procurement of office furniture & computer for Sara Bangla Daba Sangha, 91A, Chowringhee Road","29-Jun-2023","04-Feb-2025","1500000","Vendor Identification"
"93","Normal/Others","WS/MP221/2023-2024/2099-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Part of a new Paediatric Hospital-300 beds of the Institute of Child Health, 11, Dr. Biresh Guha Street, Kol-17, WB","02-Jul-2023","15-Mar-2024","2500000","Vendor Identification"
"94","Normal/Others","WS/MP221/2023-2024/2100-Street lights","West Bengal","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Paver Blocked and High Mast Light at Ramakrishna Mission, Kasundia, 4, Naskara Para Lane, Kasundia, Howrah-711101, WB","02-Jul-2023","01-Feb-2024","2720064","Physical Inspection"
"95","Normal/Others","WS/MP076/2023-2024/2175-Installation of multi-gym equipment","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Providing of fix GYM indoor equipment in the memory of Shaheed Lt. Rakesh singh for GP Subana Distt. Jhajjar( SC Component)","03-Jul-2023","06-Feb-2024","250000","Work Completed"
"96","Normal/Others","WS/MP076/2023-2024/2176-Purchase of mobile water tankers","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for Gram Panchayat Majra -B Distt. Jhajjar ( Capacity (5000 Liters with motor fitted with new tyers )","03-Jul-2023","04-Dec-2023","154427","Physical Inspection"
"97","Normal/Others","WS/MP076/2023-2024/2177-Purchase of books for public libraries/ digitization of library books","Haryana","JIND(DEPUTY COMMISSIONER JIND)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Providing of computer Library (E - Library ) for govt. Sr. Sec. School,Bhongra","03-Jul-2023","04-Feb-2024","500000","Work Completed"
"98","Normal/Others","WS/MP076/2023-2024/2182-Providing garbage collection and disposal systems","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Providing of one tractor and hydraulic Trolly for gram  Panchayat Majara-B distt. Jhajjar for sanitation.","03-Jul-2023","15-Feb-2024","600000","Work Completed"
"99","Normal/Others","WS/MP076/2023-2024/2188-Purchase of hospital equipment","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Digital photo slit Lamp with applanation tonometer( TOPCON) for RIO,PGIMS (Rohtak)","04-Jul-2023","12-Dec-2023","1000000","Vendor Identification"
"100","Normal/Others","WS/MP076/2025-2026/2257-Purchase of mobile water tankers","Haryana","Charkhi Dadri(Deputy Commissioner Charkhi Dadri_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for gram Panchayat Jhinjhar Distt Charkhi Dadri ( Capacity 5000 Litrs with Motor fitted and new tyers.","04-Jul-2023","12-Jan-2026","157000","Physical Inspection"
"101","Normal/Others","WS/MP076/2023-2024/2258-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for gram Panchayat Sukhpura Distt Bhiwani( Capacity 5000 Litrs with Motor fitted and new tyers.","04-Jul-2023","19-Oct-2023","157000","Physical Inspection"
"102","Normal/Others","WS/MP076/2023-2024/2259-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for gram Panchayat Kharak Khurd  Distt Bhiwani ( Capacity 5000 Litrs with Motor fitted and new tyers.","04-Jul-2023","19-Oct-2023","157000","Physical Inspection"
"103","Normal/Others","WS/MP076/2023-2024/2260-Purchase of mobile water tankers","Haryana","Charkhi Dadri(Deputy Commissioner Charkhi Dadri_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One Fogging Machine for gram Panchayat Kari Dharni Distt Charkhi Dadri","04-Jul-2023","19-Jan-2024","80988","Physical Inspection"
"104","Normal/Others","WS/MP076/2024-2025/2262-Purchase of furniture and fixtures for educational purposes","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water Cooler for Govt. College Dubaldhan Ghikan Distt JhAJJAR","04-Jul-2023","16-Jul-2024","130759","Physical Inspection"
"105","Normal/Others","WS/MP076/2023-2024/2263-Purchase of mobile water tankers","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for gram Panchayat  Dhubaldhan Bihan Distt Jhajjar ( Capacity 5000 Litrs with Motor fitted and new tyers.","04-Jul-2023","04-Dec-2023","154427","Physical Inspection"
"106","Normal/Others","WS/MP076/2023-2024/2264-Purchase of mobile water tankers","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for gram Panchayat Dubaldhan Ghikan Distt Jhajjar ( Capacity 5000 Litrs with Motor fitted and new tyers.","04-Jul-2023","04-Dec-2023","154427","Physical Inspection"
"107","Normal/Others","WS/MP076/2023-2024/2265-Purchase of mobile water tankers","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for gram Panchayat Dubaldhan Kirmian Distt Jhajjar ( Capacity 5000 Litrs with Motor fitted and new tyers.","04-Jul-2023","04-Dec-2023","154427","Physical Inspection"
"108","Normal/Others","WS/MP076/2023-2024/2267-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Ward no 18 Distt Bhiwani ( Capacity 5000 Litrs with Motor fitted and new tyers.(Sc Component","04-Jul-2023","19-Oct-2023","157000","Physical Inspection"
"109","Normal/Others","WS/MP076/2023-2024/2268-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one water tanker for Ward no 20 Distt Bhiwani ( Capacity 5000 Litrs with Motor fitted and new tyers.(SC Component )","04-Jul-2023","19-Oct-2023","157000","Physical Inspection"
"110","Normal/Others","WS/MP076/2023-2024/2270-Construction of community centers and community halls","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Part Construction of Ambedkar Bhawan Community Center ward no 19 Bhiwani (SC Component)","04-Jul-2023","19-Oct-2023","472700","Physical Inspection"
"111","Normal/Others","WS/MP076/2023-2024/2274-Providing garbage collection and disposal systems","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Provision of One Tractor and Hydraulic Trolly for gram Panchayat Data Distt. Hisar","04-Jul-2023","02-Jan-2024","627372","Physical Inspection"
"112","Normal/Others","WS/MP076/2023-2024/2275-Purchase of mobile sanitation equipment","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","Two Fogging Machine for ward no 9 and 7 in Gram Panchayat,Kuleri (SC Component)","04-Jul-2023","03-Nov-2023","149800","Physical Inspection"
"113","Normal/Others","WS/MP076/2023-2024/2276-Purchase of mobile sanitation equipment","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One Fogging Machine for Gram Panchayat Chikanwas Distt Hisar","04-Jul-2023","03-Nov-2023","74900","Physical Inspection"
